Time_(Ps),ROG_(nm)
4110,1.86639
4120,1.85691
4130,1.85737
4140,1.86917
4150,1.86455
4160,1.86655
4170,1.86421
4180,1.87141
4190,1.85888
4200,1.86202
4210,1.87353
4220,1.86296
4230,1.8568
4240,1.85492
4250,1.86454
4260,1.86088
4270,1.85906
4280,1.8598
4290,1.8662
4300,1.86229
4310,1.86359
4320,1.858
4330,1.85694
4340,1.86854
4350,1.86111
4360,1.87041
4370,1.86644
4380,1.8633
4390,1.86999
4400,1.86515
4410,1.85716
4420,1.85921
4430,1.85617
4440,1.86311
4450,1.8569
4460,1.86227
4470,1.85674
4480,1.85613
4490,1.85201
4500,1.85664
4510,1.86498
4520,1.85537
4530,1.86307
4540,1.86741
4550,1.85695
4560,1.86345
4570,1.87172
4580,1.86173
4590,1.86118
4600,1.86764
4610,1.85785
4620,1.86223
4630,1.86652
4640,1.87181
4650,1.86736
4660,1.86723
4670,1.86033
4680,1.86536
4690,1.86635
4700,1.87044
4710,1.8685
4720,1.86562
4730,1.87152
4740,1.87283
4750,1.86121
4760,1.87125
4770,1.87141
4780,1.86915
4790,1.87016
4800,1.86595
4810,1.87226
4820,1.87405
4830,1.87128
4840,1.86379
4850,1.85796
4860,1.87478
4870,1.86716
4880,1.87083
4890,1.86235
4900,1.87215
4910,1.86579
4920,1.86673
4930,1.86477
4940,1.87037
4950,1.86253
4960,1.86719
4970,1.86959
4980,1.86421
4990,1.85992
5000,1.86347
5010,1.85616
5020,1.85709
5030,1.85871
5040,1.85854
5050,1.85255
5060,1.84912
5070,1.85996
5080,1.86032
5090,1.86003
5100,1.85951
5110,1.86045
5120,1.86119
5130,1.85763
5140,1.86489
5150,1.86545
5160,1.8632
5170,1.86863
5180,1.86916
5190,1.87485
5200,1.87275
5210,1.8745
5220,1.88079
5230,1.87552
5240,1.86644
5250,1.86783
5260,1.87613
5270,1.86977
5280,1.86873
5290,1.86362
5300,1.86965
5310,1.87553
5320,1.87979
5330,1.88013
5340,1.87705
5350,1.86775
5360,1.86889
5370,1.87048
5380,1.87318
5390,1.87561
5400,1.87849
5410,1.86962
5420,1.87473
5430,1.87364
5440,1.87289
5450,1.8689
5460,1.86653
5470,1.86491
5480,1.86782
5490,1.8692
5500,1.86655
5510,1.85987
5520,1.86628
5530,1.86332
5540,1.86607
5550,1.86053
5560,1.86857
5570,1.86678
5580,1.86076
5590,1.86126
5600,1.86323
5610,1.86195
5620,1.86603
5630,1.86226
5640,1.8591
5650,1.85978
5660,1.86536
5670,1.85927
5680,1.85353
5690,1.86137
5700,1.86521
5710,1.86183
5720,1.86352
5730,1.85568
5740,1.86631
5750,1.85168
5760,1.86278
5770,1.85763
5780,1.86276
5790,1.86438
5800,1.87089
5810,1.8663
5820,1.86596
5830,1.85638
5840,1.85711
5850,1.85686
5860,1.86019
5870,1.84938
5880,1.85665
5890,1.85501
5900,1.85683
5910,1.85791
5920,1.86609
5930,1.85351
5940,1.85332
5950,1.85741
5960,1.85785
5970,1.85237
5980,1.86032
5990,1.86387
6000,1.85345
6010,1.86469
6020,1.85739
6030,1.86201
6040,1.86242
6050,1.86846
6060,1.87075
6070,1.8619
6080,1.87198
6090,1.86102
6100,1.85764
6110,1.8571
6120,1.86401
6130,1.86132
6140,1.8504
6150,1.8667
6160,1.86597
6170,1.86132
6180,1.85852
6190,1.85798
6200,1.85427
6210,1.85817
6220,1.85421
6230,1.84762
6240,1.851
6250,1.86294
6260,1.86209
6270,1.85973
6280,1.85953
6290,1.86287
6300,1.85851
6310,1.86179
6320,1.85021
6330,1.8435
6340,1.85754
6350,1.84738
6360,1.84621
6370,1.84546
6380,1.84611
6390,1.85137
6400,1.85245
6410,1.85072
6420,1.85682
6430,1.8586
6440,1.86348
6450,1.86761
6460,1.86204
6470,1.86263
6480,1.85993
6490,1.85641
6500,1.85966
6510,1.86112
6520,1.85085
6530,1.84713
6540,1.85453
6550,1.84305
6560,1.85109
6570,1.85494
6580,1.8446
6590,1.84822
6600,1.84805
6610,1.85726
6620,1.84574
6630,1.84591
6640,1.84821
6650,1.84376
6660,1.84639
6670,1.85457
6680,1.84367
6690,1.84715
6700,1.84811
6710,1.8552
6720,1.85033
6730,1.84835
6740,1.85817
6750,1.85529
6760,1.857
6770,1.8473
6780,1.83725
6790,1.84704
6800,1.84183
6810,1.85061
6820,1.84441
6830,1.846
6840,1.85453
6850,1.85619
6860,1.8436
6870,1.84405
6880,1.8501
6890,1.85078
6900,1.85049
6910,1.84856
6920,1.85084
6930,1.85846
6940,1.85727
6950,1.85184
6960,1.84666
6970,1.84457
6980,1.84327
6990,1.83627
7000,1.84579
7010,1.84924
7020,1.84823
7030,1.853
7040,1.84877
7050,1.86268
7060,1.85499
7070,1.86347
7080,1.84837
7090,1.85947
7100,1.85448
7110,1.85969
7120,1.85676
7130,1.85328
7140,1.86084
7150,1.85358
7160,1.85588
7170,1.86283
7180,1.85572
7190,1.85222
7200,1.85045
7210,1.85932
7220,1.85666
7230,1.8514
7240,1.85617
7250,1.85285
7260,1.85062
7270,1.86169
7280,1.85404
7290,1.85086
7300,1.84795
7310,1.85372
7320,1.85039
7330,1.85156
7340,1.85379
7350,1.85059
7360,1.85202
7370,1.85256
7380,1.85277
7390,1.85244
7400,1.85359
7410,1.84856
7420,1.85024
7430,1.84751
7440,1.84936
7450,1.85487
7460,1.85909
7470,1.85532
7480,1.8573
7490,1.85565
7500,1.85658
7510,1.85166
7520,1.85311
7530,1.84328
7540,1.85607
7550,1.85982
7560,1.85041
7570,1.8418
7580,1.84722
7590,1.85617
7600,1.85642
7610,1.85518
7620,1.85927
7630,1.85321
7640,1.85212
7650,1.86181
7660,1.86616
7670,1.86423
7680,1.86377
7690,1.85852
7700,1.86232
7710,1.86488
7720,1.86257
7730,1.85919
7740,1.85997
7750,1.86055
7760,1.86019
7770,1.8649
7780,1.86067
7790,1.8736
7800,1.86282
7810,1.85924
7820,1.86422
7830,1.85692
7840,1.86898
7850,1.8543
7860,1.85589
7870,1.86079
7880,1.85323
7890,1.8574
7900,1.85452
7910,1.85446
7920,1.86401
7930,1.86558
7940,1.86541
7950,1.85316
7960,1.85945
7970,1.87045
7980,1.86175
7990,1.8644
8000,1.87112
8010,1.86571
8020,1.85946
8030,1.85655
8040,1.86006
8050,1.85467
8060,1.85571
8070,1.8539
8080,1.85715
8090,1.85807
8100,1.85317
8110,1.84885
8120,1.84779
8130,1.8545
8140,1.85243
8150,1.85205
8160,1.8605
8170,1.86461
8180,1.84859
8190,1.85533
8200,1.85736
8210,1.86155
8220,1.86699
8230,1.86505
8240,1.86262
8250,1.86739
8260,1.8664
8270,1.86669
8280,1.86764
8290,1.86662
8300,1.86511
8310,1.86632
8320,1.86881
8330,1.85799
8340,1.85908
8350,1.85878
8360,1.86254
8370,1.86316
8380,1.85925
8390,1.86974
8400,1.864
8410,1.86159
8420,1.8607
8430,1.85925
8440,1.86606
8450,1.86048
8460,1.85562
8470,1.85788
8480,1.86272
8490,1.85369
8500,1.85553
8510,1.85498
8520,1.85664
8530,1.85046
8540,1.86127
8550,1.85699
8560,1.85277
8570,1.86222
8580,1.85615
8590,1.8537
8600,1.85765
8610,1.84832
8620,1.85406
8630,1.86236
8640,1.86171
8650,1.85415
8660,1.84793
8670,1.85622
8680,1.85733
8690,1.85273
8700,1.84937
8710,1.85552
8720,1.85843
8730,1.84838
8740,1.85362
8750,1.85227
8760,1.8563
8770,1.8574
8780,1.85642
8790,1.8615
8800,1.85359
8810,1.85381
8820,1.86165
8830,1.85559
8840,1.8575
8850,1.86664
8860,1.86045
8870,1.85813
8880,1.85822
8890,1.86164
8900,1.85589
8910,1.85429
8920,1.85856
8930,1.86166
8940,1.86264
8950,1.85217
8960,1.8653
8970,1.86381
8980,1.85821
8990,1.85786
9000,1.86685
9010,1.86716
9020,1.86425
9030,1.86343
9040,1.86385
9050,1.8582
9060,1.86321
9070,1.85606
9080,1.85406
9090,1.85589
9100,1.85876
9110,1.8509
9120,1.84884
9130,1.85846
9140,1.85755
9150,1.86135
9160,1.86065
9170,1.85487
9180,1.8558
9190,1.85927
9200,1.86081
9210,1.86295
9220,1.86021
9230,1.85999
9240,1.86829
9250,1.86344
9260,1.85991
9270,1.85872
9280,1.86179
9290,1.85632
9300,1.8713
9310,1.85698
9320,1.86031
9330,1.85481
9340,1.85063
9350,1.84653
