Time_(Ps),ROG_(nm)
4100,1.87407
4110,1.8708
4120,1.87218
4130,1.86614
4140,1.86923
4150,1.86735
4160,1.86361
4170,1.87636
4180,1.87544
4190,1.86573
4200,1.86869
4210,1.86404
4220,1.86673
4230,1.86538
4240,1.86241
4250,1.86759
4260,1.86286
4270,1.85969
4280,1.86952
4290,1.86528
4300,1.86114
4310,1.87257
4320,1.85756
4330,1.86015
4340,1.86501
4350,1.86572
4360,1.8671
4370,1.86494
4380,1.86017
4390,1.85231
4400,1.85915
4410,1.87519
4420,1.87945
4430,1.87465
4440,1.87763
4450,1.87264
4460,1.87254
4470,1.87685
4480,1.86999
4490,1.86871
4500,1.87593
4510,1.87052
4520,1.86551
4530,1.86389
4540,1.86536
4550,1.87715
4560,1.87237
4570,1.87904
4580,1.87798
4590,1.87673
4600,1.88179
4610,1.88053
4620,1.87667
4630,1.87892
4640,1.87101
4650,1.86789
4660,1.87177
4670,1.86912
4680,1.8707
4690,1.86001
4700,1.87003
4710,1.87077
4720,1.87616
4730,1.86843
4740,1.87245
4750,1.8796
4760,1.86827
4770,1.87894
4780,1.87602
4790,1.87207
4800,1.87776
4810,1.87889
4820,1.87041
4830,1.88116
4840,1.87991
4850,1.87965
4860,1.87306
4870,1.87017
4880,1.86609
4890,1.87823
4900,1.86435
4910,1.87236
4920,1.86617
4930,1.86924
4940,1.87158
4950,1.86374
4960,1.86866
4970,1.86624
4980,1.86752
4990,1.87098
5000,1.86685
5010,1.86647
5020,1.8702
5030,1.87227
5040,1.86016
5050,1.87176
5060,1.8704
5070,1.87446
5080,1.87272
5090,1.8741
5100,1.87221
5110,1.86663
5120,1.86705
5130,1.87216
5140,1.87661
5150,1.87737
5160,1.87616
5170,1.8719
5180,1.87077
5190,1.86835
5200,1.87864
5210,1.87825
5220,1.87349
5230,1.87406
5240,1.87043
5250,1.87903
5260,1.87025
5270,1.88736
5280,1.8866
5290,1.8838
5300,1.88087
5310,1.87588
5320,1.89614
5330,1.87621
5340,1.87766
5350,1.87385
5360,1.87059
5370,1.87105
5380,1.87591
5390,1.8746
5400,1.87176
5410,1.86014
5420,1.86115
5430,1.86659
5440,1.87287
5450,1.87823
5460,1.87651
5470,1.8725
5480,1.86184
5490,1.87441
5500,1.86366
5510,1.86231
5520,1.86389
5530,1.86379
5540,1.86695
5550,1.87093
5560,1.86577
5570,1.86564
5580,1.87386
5590,1.86639
5600,1.85852
5610,1.86218
5620,1.86619
5630,1.86271
5640,1.86723
5650,1.87094
5660,1.87448
5670,1.86988
5680,1.87664
5690,1.87431
5700,1.87117
5710,1.87334
5720,1.87273
5730,1.8752
5740,1.87902
5750,1.88252
5760,1.88488
5770,1.88328
5780,1.87922
5790,1.87381
5800,1.88292
5810,1.87878
5820,1.87347
5830,1.8819
5840,1.87585
5850,1.88236
5860,1.87396
5870,1.8769
5880,1.88412
5890,1.86946
5900,1.86529
5910,1.86991
5920,1.8725
5930,1.86624
5940,1.87193
5950,1.86938
5960,1.86817
5970,1.87129
5980,1.87021
5990,1.86841
6000,1.87734
6010,1.87173
6020,1.86362
6030,1.8686
6040,1.86757
6050,1.86868
6060,1.86887
6070,1.87111
6080,1.87277
6090,1.87688
6100,1.87341
6110,1.8765
6120,1.86773
6130,1.87438
6140,1.87101
6150,1.86738
6160,1.8788
6170,1.87465
6180,1.88213
6190,1.87561
6200,1.88521
6210,1.87214
6220,1.87196
6230,1.88156
6240,1.87589
6250,1.87357
6260,1.87555
6270,1.86921
6280,1.87288
6290,1.87626
6300,1.87846
6310,1.86992
6320,1.86785
6330,1.88102
6340,1.87338
6350,1.88574
6360,1.88703
6370,1.87511
6380,1.87533
6390,1.88348
6400,1.87526
6410,1.88843
6420,1.88876
6430,1.89523
6440,1.88063
6450,1.88359
6460,1.89118
6470,1.88846
6480,1.87999
6490,1.8796
6500,1.8914
6510,1.8965
6520,1.8857
6530,1.89131
6540,1.88958
6550,1.88917
6560,1.89488
6570,1.88183
6580,1.89131
6590,1.88659
6600,1.89068
6610,1.88934
6620,1.89158
6630,1.90064
6640,1.89049
6650,1.88071
6660,1.88981
6670,1.88641
6680,1.88693
6690,1.88666
6700,1.89477
6710,1.88782
6720,1.88228
6730,1.87658
6740,1.88291
6750,1.88651
6760,1.89286
6770,1.88522
6780,1.88154
6790,1.87695
6800,1.88489
6810,1.89031
6820,1.88957
6830,1.89027
6840,1.88559
6850,1.87687
6860,1.87618
6870,1.87985
6880,1.87938
6890,1.87925
6900,1.87909
6910,1.8807
6920,1.88706
6930,1.88802
6940,1.88447
6950,1.8876
6960,1.8791
6970,1.88667
6980,1.87744
6990,1.88257
7000,1.87991
7010,1.88917
7020,1.89023
7030,1.88652
7040,1.88239
7050,1.8796
7060,1.88881
7070,1.89575
7080,1.89344
7090,1.88922
7100,1.88874
7110,1.89083
7120,1.87986
7130,1.88543
7140,1.88759
7150,1.88131
7160,1.87893
7170,1.88522
7180,1.87543
7190,1.87873
7200,1.88247
7210,1.88393
7220,1.8808
7230,1.88339
7240,1.88066
7250,1.885
7260,1.88537
7270,1.88006
7280,1.88466
7290,1.88635
7300,1.87912
7310,1.87994
7320,1.87573
7330,1.87866
7340,1.87939
7350,1.88941
7360,1.88441
7370,1.8789
7380,1.88098
7390,1.88422
7400,1.88459
7410,1.8827
7420,1.889
7430,1.88465
7440,1.89318
7450,1.8849
7460,1.88387
7470,1.88793
7480,1.88276
7490,1.88041
7500,1.88174
7510,1.87356
7520,1.88467
7530,1.89587
7540,1.88432
7550,1.8861
7560,1.88235
7570,1.88587
7580,1.88131
7590,1.8857
7600,1.89849
7610,1.88639
7620,1.88375
7630,1.88728
7640,1.87552
7650,1.88272
7660,1.88453
7670,1.88028
7680,1.89052
7690,1.88597
7700,1.88867
7710,1.88598
7720,1.88192
7730,1.88413
7740,1.88221
7750,1.8808
7760,1.88949
7770,1.89368
7780,1.88996
7790,1.88787
7800,1.88955
7810,1.88477
7820,1.88789
7830,1.88848
7840,1.88183
7850,1.8846
7860,1.8824
7870,1.88764
7880,1.8918
7890,1.8902
7900,1.88822
7910,1.88635
7920,1.88239
7930,1.88922
7940,1.88412
7950,1.88856
7960,1.88194
7970,1.8804
7980,1.87444
7990,1.8812
8000,1.89112
8010,1.89205
8020,1.87939
8030,1.87538
8040,1.88054
8050,1.88186
8060,1.88003
8070,1.8842
8080,1.8754
8090,1.87986
8100,1.87822
8110,1.87957
8120,1.88374
8130,1.88352
8140,1.88661
8150,1.88684
8160,1.87969
8170,1.87894
8180,1.8827
8190,1.88907
8200,1.88627
8210,1.89162
8220,1.88833
8230,1.88767
8240,1.88049
8250,1.88711
8260,1.88478
8270,1.88492
8280,1.88546
8290,1.88131
8300,1.8831
8310,1.88674
8320,1.88453
8330,1.88395
8340,1.88721
8350,1.87681
8360,1.88138
8370,1.87933
8380,1.87765
8390,1.87798
8400,1.87798
8410,1.88068
8420,1.8693
8430,1.88591
8440,1.87336
8450,1.87789
8460,1.87316
8470,1.87928
8480,1.88725
8490,1.87546
8500,1.88271
8510,1.88732
8520,1.88489
8530,1.87635
8540,1.88351
8550,1.87613
8560,1.87782
8570,1.88336
8580,1.88693
8590,1.87921
8600,1.8798
8610,1.88132
8620,1.87734
8630,1.87681
8640,1.88561
8650,1.87388
8660,1.87736
8670,1.88082
8680,1.87867
8690,1.88273
8700,1.87436
8710,1.88483
8720,1.88052
8730,1.88368
8740,1.87583
8750,1.87686
8760,1.88313
8770,1.87979
8780,1.87595
8790,1.88466
8800,1.88004
8810,1.88471
8820,1.87372
8830,1.87509
8840,1.88123
8850,1.8797
8860,1.88321
8870,1.87584
8880,1.88139
8890,1.87772
8900,1.88058
8910,1.8753
8920,1.88731
8930,1.88559
8940,1.87483
8950,1.88867
8960,1.88851
8970,1.88163
8980,1.87759
8990,1.8791
9000,1.87773
9010,1.8848
9020,1.87425
9030,1.88017
9040,1.88191
9050,1.88082
9060,1.88224
9070,1.8786
9080,1.87786
9090,1.88291
9100,1.88466
9110,1.88134
9120,1.88766
9130,1.8831
9140,1.88326
9150,1.87817
9160,1.88525
9170,1.875
9180,1.88918
9190,1.87939
9200,1.8755
9210,1.86655
9220,1.87578
9230,1.87881
9240,1.86549
9250,1.87621
9260,1.8791
9270,1.88064
9280,1.88145
9290,1.88239
9300,1.88202
9310,1.88658
9320,1.88887
9330,1.8914
9340,1.88926
9350,1.88543
9360,1.88614
9370,1.88511
9380,1.88306
9390,1.88479
9400,1.88492
9410,1.88232
9420,1.88521
9430,1.88889
9440,1.88909
9450,1.89827
9460,1.88435
9470,1.87627
9480,1.88927
9490,1.88518
9500,1.8957
9510,1.88364
9520,1.89276
9530,1.88707
9540,1.88777
9550,1.88884
9560,1.88455
9570,1.88765
9580,1.87988
9590,1.88231
9600,1.87809
9610,1.88598
9620,1.88313
9630,1.88198
9640,1.88491
9650,1.88553
9660,1.88622
9670,1.87676
9680,1.88209
9690,1.87656
9700,1.87163
9710,1.88267
9720,1.883
9730,1.889
9740,1.89049
9750,1.88831
9760,1.88752
9770,1.88296
9780,1.89589
9790,1.87731
9800,1.8777
9810,1.881
9820,1.88432
9830,1.88056
9840,1.87837
9850,1.88165
9860,1.87114
9870,1.88041
9880,1.87503
9890,1.87635
9900,1.88832
9910,1.89288
9920,1.89554
9930,1.88534
9940,1.8884
9950,1.87918
9960,1.88373
9970,1.88867
9980,1.88304
9990,1.88874
10000,1.89456
10010,1.87763
10020,1.89789
10030,1.88354
10040,1.88578
10050,1.88735
10060,1.88859
10070,1.89014
10080,1.89912
10090,1.88464
10100,1.89074
10110,1.8943
10120,1.89635
10130,1.88779
10140,1.88172
10150,1.87969
10160,1.88014
10170,1.8772
10180,1.87699
10190,1.89059
10200,1.88422
10210,1.88035
10220,1.8861
10230,1.8853
10240,1.88686
10250,1.87988
10260,1.87281
10270,1.87368
10280,1.88273
10290,1.87922
10300,1.87783
10310,1.88494
10320,1.88652
10330,1.88526
10340,1.88693
10350,1.88807
10360,1.88163
10370,1.88819
10380,1.89039
10390,1.89015
10400,1.88419
10410,1.88665
10420,1.882
10430,1.88101
10440,1.88089
10450,1.88313
10460,1.88168
10470,1.88727
10480,1.87691
10490,1.8831
10500,1.87423
10510,1.87817
10520,1.87663
10530,1.87059
10540,1.8721
10550,1.87919
10560,1.87842
10570,1.86834
10580,1.87533
10590,1.87522
10600,1.87457
10610,1.87341
10620,1.8841
10630,1.87881
10640,1.88924
10650,1.8806
10660,1.88699
10670,1.89051
10680,1.88149
10690,1.88689
10700,1.87929
10710,1.88316
10720,1.87947
10730,1.8776
10740,1.88405
10750,1.88218
10760,1.8954
10770,1.88318
10780,1.88054
10790,1.89017
10800,1.87597
10810,1.88797
10820,1.87751
10830,1.87831
10840,1.8764
10850,1.88139
10860,1.87886
10870,1.86993
10880,1.8641
10890,1.8669
10900,1.86963
10910,1.87224
10920,1.87298
10930,1.87556
10940,1.87856
10950,1.88001
10960,1.88212
10970,1.88708
10980,1.881
10990,1.88065
11000,1.884
11010,1.88756
11020,1.8887
11030,1.88463
11040,1.87789
11050,1.8853
11060,1.88321
11070,1.87922
11080,1.8847
11090,1.87862
11100,1.87587
11110,1.87518
11120,1.86973
11130,1.87564
11140,1.88468
11150,1.87906
11160,1.88433
11170,1.88106
11180,1.87661
11190,1.8891
11200,1.88508
11210,1.88252
11220,1.89352
11230,1.88656
11240,1.88226
11250,1.89143
11260,1.88554
11270,1.88856
11280,1.89507
11290,1.88129
11300,1.87837
11310,1.88285
11320,1.88524
11330,1.88205
11340,1.89318
11350,1.89488
11360,1.87967
11370,1.88011
11380,1.87966
11390,1.87911
11400,1.8834
11410,1.8862
11420,1.88308
11430,1.89277
11440,1.88577
11450,1.88142
11460,1.88254
11470,1.89223
11480,1.88656
11490,1.88678
11500,1.88655
11510,1.88128
11520,1.88225
11530,1.88008
11540,1.88161
11550,1.88484
11560,1.87982
11570,1.88242
11580,1.87727
11590,1.88181
11600,1.88703
11610,1.87851
11620,1.87601
11630,1.87413
11640,1.8784
11650,1.87594
11660,1.87414
11670,1.87985
11680,1.87794
11690,1.88147
11700,1.8903
11710,1.88661
11720,1.89619
11730,1.88736
11740,1.88342
11750,1.88327
11760,1.88102
11770,1.88573
11780,1.87967
11790,1.87964
11800,1.88355
11810,1.87608
11820,1.88642
11830,1.88962
11840,1.87509
11850,1.88771
11860,1.8855
11870,1.8795
11880,1.88247
11890,1.88809
11900,1.8806
11910,1.87969
11920,1.88907
11930,1.87943
11940,1.8835
11950,1.88648
11960,1.8888
11970,1.88462
11980,1.88857
11990,1.88576
12000,1.8896
12010,1.87736
12020,1.87929
12030,1.88129
12040,1.8798
12050,1.8844
12060,1.8845
12070,1.87898
12080,1.89054
12090,1.88676
12100,1.88417
12110,1.88358
12120,1.88678
12130,1.88763
12140,1.88857
12150,1.88763
12160,1.89175
12170,1.88589
12180,1.88912
12190,1.89006
12200,1.89538
12210,1.88541
12220,1.88959
12230,1.89398
12240,1.88243
12250,1.88158
12260,1.88457
12270,1.89375
12280,1.8927
12290,1.88228
12300,1.8816
12310,1.89071
12320,1.88037
12330,1.8868
12340,1.88823
12350,1.88332
12360,1.8764
12370,1.88227
12380,1.88106
12390,1.88388
12400,1.88581
12410,1.8877
12420,1.88164
12430,1.88537
12440,1.88291
12450,1.88663
12460,1.88135
12470,1.8871
12480,1.87617
12490,1.88142
12500,1.88375
12510,1.88076
12520,1.8824
12530,1.8894
12540,1.87982
12550,1.884
12560,1.89003
12570,1.88837
12580,1.88943
12590,1.89169
12600,1.87994
12610,1.88223
12620,1.88497
12630,1.88493
12640,1.88071
12650,1.88661
12660,1.88667
12670,1.89099
12680,1.88438
12690,1.89441
12700,1.88175
12710,1.88999
12720,1.87953
12730,1.87636
12740,1.88187
12750,1.87738
12760,1.88247
12770,1.88358
12780,1.88448
12790,1.8814
12800,1.8842
12810,1.88241
12820,1.88832
12830,1.88295
12840,1.88417
12850,1.89092
12860,1.88263
12870,1.8851
12880,1.87995
12890,1.88259
12900,1.88941
12910,1.88117
12920,1.8869
12930,1.87888
12940,1.88374
12950,1.88705
12960,1.88878
12970,1.88723
12980,1.88291
12990,1.88797
13000,1.89562
13010,1.8847
13020,1.88051
13030,1.87956
13040,1.88748
13050,1.88707
13060,1.89336
13070,1.88783
13080,1.88894
13090,1.87987
13100,1.87757
13110,1.8758
13120,1.88775
13130,1.88475
13140,1.87409
13150,1.87694
13160,1.88041
13170,1.87858
13180,1.87046
13190,1.88413
13200,1.8752
13210,1.87829
13220,1.87667
13230,1.88725
13240,1.87601
13250,1.88106
13260,1.88451
13270,1.88179
13280,1.88322
13290,1.87765
13300,1.8804
13310,1.87862
13320,1.8813
13330,1.88265
13340,1.88636
13350,1.87746
13360,1.88884
13370,1.8942
13380,1.88473
13390,1.88805
13400,1.87883
13410,1.87748
13420,1.88192
13430,1.88071
13440,1.88346
13450,1.88048
13460,1.87676
13470,1.88006
13480,1.88406
13490,1.88517
13500,1.89242
13510,1.88611
13520,1.88076
13530,1.88233
13540,1.88956
13550,1.87918
13560,1.88353
13570,1.88907
13580,1.87981
13590,1.88647
13600,1.8795
13610,1.88215
13620,1.89281
13630,1.889
13640,1.88353
13650,1.87804
13660,1.87626
13670,1.87545
13680,1.87933
13690,1.87594
13700,1.87257
13710,1.87347
13720,1.8757
13730,1.88349
13740,1.87397
13750,1.88116
13760,1.87946
13770,1.87033
13780,1.87537
13790,1.87474
13800,1.87233
13810,1.8805
13820,1.88056
13830,1.86987
13840,1.87055
13850,1.87617
13860,1.87866
13870,1.88067
13880,1.88372
13890,1.88275
13900,1.87979
13910,1.88001
13920,1.87828
13930,1.8762
13940,1.88484
13950,1.88312
13960,1.88069
13970,1.88687
13980,1.89339
13990,1.88332
14000,1.87596
14010,1.88049
14020,1.88664
14030,1.8758
14040,1.86901
14050,1.87481
14060,1.8713
14070,1.87802
14080,1.87799
14090,1.87559
14100,1.88212
14110,1.87313
14120,1.87764
14130,1.87958
14140,1.87378
14150,1.88085
14160,1.87148
14170,1.88256
14180,1.86971
14190,1.87508
14200,1.87407
14210,1.88107
14220,1.87637
14230,1.8723
14240,1.87139
14250,1.86778
14260,1.86331
14270,1.87922
14280,1.87521
14290,1.8672
14300,1.87429
14310,1.86203
14320,1.87699
14330,1.87218
14340,1.87174
14350,1.881
14360,1.87591
14370,1.87915
14380,1.86688
14390,1.8672
14400,1.86926
14410,1.87394
14420,1.87867
14430,1.86856
14440,1.86148
14450,1.86783
14460,1.86969
14470,1.86982
14480,1.86355
14490,1.86769
14500,1.87463
14510,1.87067
14520,1.86929
14530,1.86767
14540,1.87103
14550,1.86678
14560,1.86946
14570,1.87135
14580,1.88346
14590,1.88024
14600,1.8882
14610,1.88448
14620,1.87975
14630,1.88134
14640,1.87857
14650,1.88684
14660,1.88062
14670,1.88634
14680,1.88
14690,1.87371
14700,1.881
14710,1.87854
14720,1.87692
14730,1.88258
14740,1.88996
14750,1.87815
14760,1.87842
14770,1.87705
14780,1.87314
14790,1.87805
14800,1.88414
14810,1.8879
14820,1.87801
14830,1.8818
14840,1.87626
14850,1.87751
14860,1.88316
14870,1.8736
14880,1.87798
14890,1.875
14900,1.87849
14910,1.88327
14920,1.8757
14930,1.87161
14940,1.87544
14950,1.87914
14960,1.87704
14970,1.86977
14980,1.87437
14990,1.87639
15000,1.87188
15010,1.86969
15020,1.87865
15030,1.8709
15040,1.87053
15050,1.87271
15060,1.88741
15070,1.879
15080,1.87442
15090,1.87039
15100,1.87187
15110,1.87522
15120,1.87421
15130,1.8793
15140,1.86499
15150,1.86255
15160,1.86989
15170,1.8661
15180,1.8699
15190,1.86579
15200,1.86136
15210,1.85905
15220,1.85916
15230,1.86456
15240,1.85866
15250,1.85872
15260,1.86453
15270,1.87217
15280,1.87266
15290,1.86575
15300,1.85707
15310,1.86394
15320,1.85499
15330,1.87302
15340,1.8651
15350,1.86579
15360,1.86662
15370,1.87151
15380,1.87432
15390,1.87715
15400,1.87211
15410,1.86324
15420,1.87751
15430,1.8674
15440,1.86515
15450,1.86931
15460,1.86981
15470,1.87449
15480,1.87041
15490,1.88262
15500,1.87851
15510,1.8806
15520,1.88329
15530,1.87958
15540,1.87231
15550,1.87757
15560,1.87946
15570,1.87544
15580,1.87547
15590,1.88089
15600,1.86922
15610,1.88509
15620,1.86905
15630,1.86999
15640,1.87301
15650,1.86754
